batch,q_id,change,fix_type,before,after,margin_before
7,PQ_SAF-04_18,Expanded distractor (D),distractor expansion,"Only in secondary grades, not elementary","Only in secondary grades, not elementary, without adequate clinical justification.",51
7,PQ_SAF-04_20,Expanded distractor (A),distractor expansion,Prevention and response are unrelated functions,"Prevention and response are unrelated functions, which does not apply in this clinical context.",74
7,PQ_SAF-04_20,Expanded distractor (D),distractor expansion,Prevention and response compete for resources,"Prevention and response compete for resources, without adequate clinical justification.",74
7,PQ_SWP-02_3,Expanded distractor (C),distractor expansion,Harmful; there is no benefit to waiting a year,"Harmful; there is no benefit to waiting a year, which does not apply in this clinical context.",59
7,PQ_SWP-02_3,Expanded distractor (D),distractor expansion,Only appropriate for students with disabilities,"Only appropriate for students with disabilities, without adequate clinical justification.",59
7,PQ_SWP-02_6,Shortened correct (B),semicolon trim,"Rigid, between-class tracking is associated with widened achievement gaps; flexible, within-class grouping is more effective","Rigid, between-class tracking is associated with widened achievement gaps",53
7,PQ_SWP-02_8,Shortened correct (B),semicolon trim,The policy produced mixed results; some improvements were shown but with increased retention rates and concerns about negative effects on retained students,The policy produced mixed results,90
7,PQ_SWP-02_13,Shortened correct (B),semicolon trim,Addressing underlying anxiety/perfectionism may allow the student to benefit from accelerated content; moving ahead without addressing psychology is ineffective,Addressing underlying anxiety/perfectionism may allow the student to benefit from accelerated content,86
7,PQ_SWP-02_14,Shortened correct (B),semicolon trim,Within-class grouping is flexible and allows students to move groups; between-class tracking is typically fixed with reduced opportunity to advance,Within-class grouping is flexible and allows students to move groups,79
7,PQ_SWP-02_17,Expanded distractor (A),distractor expansion,How long the student has been in the school,"How long the student has been in the school, without adequate clinical justification.",89
7,PQ_SWP-02_17,Expanded distractor (C),distractor expansion,Whether the student's family emphasizes education,"Whether the student's family emphasizes education, without adequate clinical justification.",89
7,PQ_SWP-02_17,Expanded distractor (D),distractor expansion,The student's behavior rating,"The student's behavior rating, requiring no further assessment or action.",89
7,PQ_SWP-02_20,Expanded distractor (C),distractor expansion,Make decisions based solely on family preference,"Make decisions based solely on family preference, without adequate clinical justification.",74
7,PQ_SWP-03_2,Shortened correct (B),to-clause trim,An IES-sponsored resource that systematically reviews research and rates studies' rigor to identify evidence-based programs,An IES-sponsored resource that systematically reviews research and rates studies' rigor.,75
7,PQ_SWP-03_3,Expanded distractor (A),distractor expansion,The program is popular in other schools,"The program is popular in other schools, which does not apply in this clinical context.",95
7,PQ_SWP-03_3,Expanded distractor (B),distractor expansion,The developer endorses the program as effective,"The developer endorses the program as effective, without adequate clinical justification.",95
7,PQ_SWP-03_3,Expanded distractor (D),distractor expansion,The program is inexpensive,"The program is inexpensive, which does not apply in this clinical context.",95
7,PQ_SWP-03_4,Shortened correct (B),semicolon trim,"ESSA tiers categorize research rigor and effect size (strong, moderate, promising); WWC provides detailed review protocols specific to intervention type","ESSA tiers categorize research rigor and effect size (strong, moderate, promising)",87
7,PQ_SWP-03_6,Expanded distractor (A),distractor expansion,Whether the program works in the study setting,"Whether the program works in the study setting, without adequate clinical justification.",56
7,PQ_SWP-03_6,Expanded distractor (C),distractor expansion,Whether the program is evidence-based,"Whether the program is evidence-based, which does not apply in this clinical context.",56
7,PQ_SWP-03_6,Expanded distractor (D),distractor expansion,Whether the program is popular nationally,"Whether the program is popular nationally, which does not apply in this clinical context.",56
7,PQ_SWP-03_7,Shortened correct (B),semicolon trim,Consider whether the program's effects may vary in the district's different demographic context; plan for adaptation and careful monitoring,Consider whether the program's effects may vary in the district's different demographic context,55
7,PQ_SWP-03_8,Expanded distractor (A),distractor expansion,The science of administering programs in schools,"The science of administering programs in schools, without adequate clinical justification.",96
7,PQ_SWP-03_8,Expanded distractor (C),distractor expansion,A new type of educational intervention,"A new type of educational intervention, without adequate clinical justification.",96
8,PQ_SWP-03_12,Expanded distractor (B),distractor expansion,Adapt extensively; fidelity is not necessary,"Adapt extensively; fidelity is not necessary, which does not apply in this clinical context.",57
8,PQ_SWP-03_13,Expanded distractor (A),distractor expansion,Cost alone should determine adoption,"Cost alone should determine adoption, without adequate clinical justification.",96
8,PQ_SWP-03_13,Expanded distractor (C),distractor expansion,Cost-effectiveness means least expensive option,"Cost-effectiveness means least expensive option, without adequate clinical justification.",96
8,PQ_SWP-03_13,Expanded distractor (D),distractor expansion,Expensive programs are always more effective,"Expensive programs are always more effective, which does not apply in this clinical context.",96
8,PQ_SWP-03_15,Expanded distractor (A),distractor expansion,Seniority of the decision-maker,"Seniority of the decision-maker, without adequate clinical justification.",60
8,PQ_SWP-03_15,Expanded distractor (C),distractor expansion,Whether the program is popular with staff,"Whether the program is popular with staff, which does not apply in this clinical context.",60
8,PQ_SWP-03_15,Expanded distractor (D),distractor expansion,Cost alone,"Cost alone, which is not supported by the available evidence.",60
8,PQ_SWP-03_16,Shortened correct (B),semicolon trim,Examine whether program effects are distributed equitably; disaggregate data by subgroup and provide additional support if needed,Examine whether program effects are distributed equitably,61
8,PQ_SWP-03_17,Expanded distractor (A),distractor expansion,A predetermined outcome for a program,"A predetermined outcome for a program, without adequate clinical justification.",59
8,PQ_SWP-03_17,Expanded distractor (C),distractor expansion,A list of program costs,"A list of program costs, which is not supported by the available evidence.",59
8,PQ_SWP-03_18,Shortened correct (B),semicolon trim,"Acknowledge the implementation curve; provide additional training, coaching, and support to build proficiency",Acknowledge the implementation curve,62
8,PQ_SWP-03_19,Expanded distractor (A),distractor expansion,Assume programs sustain themselves,Assume programs sustain themselves without gathering data to support or refute that interpretation.,74
8,PQ_SWP-03_19,Expanded distractor (C),distractor expansion,Sustainability is not a school responsibility,"Sustainability is not a school responsibility, which does not apply in this clinical context.",74
8,PQ_SWP-03_20,Expanded distractor (A),distractor expansion,Only the program's evidence base,"Only the program's evidence base, without adequate clinical justification.",100
8,PQ_SWP-03_20,Expanded distractor (C),distractor expansion,The program's popularity,"The program's popularity, which is not supported by the available evidence.",100
8,PQ_SWP-03_20,Expanded distractor (D),distractor expansion,Cost only,"Cost considerations only, without weighing evidence of effectiveness or contextual fit.",100
8,PQ_SWP-04_1,Expanded distractor (A),distractor expansion,"Academic support only, delivered in three tiers","Academic support only, delivered in three tiers, without adequate clinical justification.",91
8,PQ_SWP-04_1,Expanded distractor (C),distractor expansion,Behavioral support only,"Behavioral support only, which is not supported by the available evidence.",91
8,PQ_SWP-04_1,Expanded distractor (D),distractor expansion,Identification and referral to special education,"Identification and referral to special education, without adequate clinical justification.",91
8,PQ_SWP-04_3,Expanded distractor (A),distractor expansion,Refer all 40% to special education,"Refer all 40% to special education immediately, before exhausting less intensive intervention options.",53
8,PQ_SWP-04_3,Expanded distractor (C),distractor expansion,Immediately move all students to Tier 2,"Immediately move all students to Tier 2, without adequate clinical justification.",53
8,PQ_SWP-04_3,Expanded distractor (D),distractor expansion,Accept this as normal variation,Accept this as normal variation without seeking corroborating evidence or additional clinical inquiry.,53
8,PQ_SWP-04_4,Expanded distractor (A),distractor expansion,Teacher request alone is sufficient,"Teacher request alone is sufficient, which does not apply in this clinical context.",73
8,PQ_SWP-04_4,Expanded distractor (C),distractor expansion,Automatic based on age,"Automatic based on age, which is not supported by the available evidence.",73
8,PQ_SWP-04_4,Expanded distractor (D),distractor expansion,Parent request,"Parent request, requiring no further assessment or action.",73
8,PQ_SWP-04_5,Expanded distractor (A),distractor expansion,Annual assessment of student achievement,"Annual assessment of student achievement, without adequate clinical justification.",82
8,PQ_SWP-04_5,Expanded distractor (C),distractor expansion,Documentation of attendance,"Documentation of attendance, which is not supported by the available evidence.",82
8,PQ_SWP-04_5,Expanded distractor (D),distractor expansion,Testing only for compliance purposes,"Testing only for compliance purposes, without adequate clinical justification.",82
8,PQ_SWP-04_6,Expanded distractor (A),distractor expansion,Quickly selecting an intervention,"Quickly selecting an intervention, without adequate clinical justification.",63
8,PQ_SWP-04_6,Expanded distractor (C),distractor expansion,Assigning blame for the problem,"Assigning blame for the problem, without adequate clinical justification.",63
8,PQ_SWP-04_6,Expanded distractor (D),distractor expansion,Implementing interventions without baseline data,"Implementing interventions without baseline data, without adequate clinical justification.",63
8,PQ_SWP-04_7,Shortened correct (B),semicolon trim,MTSS provides support early and in general education; wait-to-fail delays intervention until special education eligibility,MTSS provides support early and in general education,66
8,PQ_SWP-04_9,Shortened correct (B),semicolon trim,"Regularly examine whether students from different racial/ethnic groups, genders, and economic backgrounds respond equally; adjust practices to reduce disparities","Regularly examine whether students from different racial/ethnic groups, genders, and economic backgrounds respond equally",95
8,PQ_SWP-04_10,Expanded distractor (A),distractor expansion,Continue the same intervention longer,"Continue the same intervention longer, without adequate clinical justification.",74
8,PQ_SWP-04_10,Expanded distractor (C),distractor expansion,Immediately refer to special education,"Immediately refer to special education, without adequate clinical justification.",74
8,PQ_SWP-04_10,Expanded distractor (D),distractor expansion,Conclude the student will not benefit from intervention,Conclude the student will not benefit from intervention without adequate supporting evidence from multiple data sources.,74
8,PQ_SWP-04_12,Expanded distractor (A),distractor expansion,MTSS is not related to special education,"MTSS is not related to special education, without adequate clinical justification.",70
8,PQ_SWP-04_12,Expanded distractor (D),distractor expansion,Special education is Tier 3 of MTSS,"Special education is Tier 3 of MTSS, which does not apply in this clinical context.",70
8,PQ_SWP-04_14,Expanded distractor (D),distractor expansion,Maintaining MTSS with minimal time allocation,"Maintaining MTSS with minimal time allocation, without adequate clinical justification.",56
8,PQ_SWP-04_16,Expanded distractor (A),distractor expansion,They are separate systems,"They are separate systems, which is not supported by the available evidence.",52
8,PQ_SWP-04_16,Expanded distractor (C),distractor expansion,Academic support is more important than behavioral,"Academic support is more important than behavioral, which does not apply in this clinical context.",52
8,PQ_SWP-04_17,Shortened correct (B),semicolon trim,Potential bias in how behavior is interpreted and referred; practice review and implicit bias training may be needed,Potential bias in how behavior is interpreted and referred,77
8,PQ_SWP-04_18,Expanded distractor (A),distractor expansion,None; MTSS is only for teachers,"None; MTSS is only for teachers, which does not apply in this clinical context.",84
8,PQ_SWP-04_18,Expanded distractor (C),distractor expansion,Data management only,"Data management only, which is not supported by the available evidence.",84
8,PQ_SWP-04_18,Expanded distractor (D),distractor expansion,Special education referral only,"Special education referral only, without adequate clinical justification.",84
8,PQ_SWP-04_20,Expanded distractor (A),distractor expansion,Abandon MTSS due to resistance,"Abandon MTSS due to resistance, without adequate clinical justification.",115
8,PQ_SWP-04_20,Expanded distractor (C),distractor expansion,Force implementation without teacher input,"Force implementation without teacher input, without adequate clinical justification.",115
8,PQ_SWP-04_20,Expanded distractor (D),distractor expansion,Lower expectations to eliminate need for Tier 2/3,"Lower expectations to eliminate need for Tier 2/3, without adequate clinical justification.",115
8,PQ_DIV-01_6,Expanded distractor (C),distractor expansion,Accept the family's refusal and document noncompliance,Accept the family's refusal and document noncompliance without seeking corroborating evidence or additional clinical inquiry.,81
8,PQ_DIV-01_9,Shortened correct (B),semicolon trim,Cultural competence suggests mastery of knowledge about cultures; cultural humility recognizes power dynamics and the ongoing nature of learning about others,Cultural competence suggests mastery of knowledge about cultures,55
8,PQ_DIV-01_13,Expanded distractor (A),distractor expansion,Dismiss indigenous practices as unsupported by science,Dismiss indigenous practices as unsupported by science as uninformative and proceed without additional clinical consideration.,71
8,PQ_DIV-01_13,Expanded distractor (C),distractor expansion,Avoid discussing them to prevent misunderstanding,Avoid discussing them to prevent misunderstanding without addressing the underlying clinical or educational need.,71
8,PQ_DIV-01_14,Shortened correct (B),semicolon trim,Recognize that cultural differences in emotional expression may affect item responses and norm comparisons; supplement with culturally sensitive observation,Recognize that cultural differences in emotional expression may affect item responses and norm comparisons,69
8,PQ_DIV-01_16,Shortened correct (B),semicolon trim,"Recognize that test-taking anxiety, unfamiliarity with testing formats, and assessment bias may depress scores; verify findings through multiple measures and contextual information","Recognize that test-taking anxiety, unfamiliarity with testing formats, and assessment bias may depress scores",98
8,PQ_DIV-01_17,Shortened correct (C),semicolon trim,Evaluate whether accommodations can be made without compromising the intervention's integrity or creating safety issues; discuss with the family and document decisions,Evaluate whether accommodations can be made without compromising the intervention's integrity or creating safety issues,82
8,PQ_DIV-03_5,Expanded distractor (A),distractor expansion,Appropriate recognition of a disability,"Appropriate recognition of a disability, without adequate clinical justification.",52
8,PQ_DIV-03_11,Expanded distractor (A),distractor expansion,"Overt, intentional acts of discrimination","Overt, intentional acts of discrimination, without adequate clinical justification.",79
8,PQ_DIV-03_11,Expanded distractor (D),distractor expansion,Compliments that are actually negative,"Compliments that are actually negative, which does not apply in this clinical context.",79
8,PQ_DIV-03_12,Shortened correct (B),em-dash trim,Using group statistics as evidence of individual ability—statistical thinking that inappropriately generalizes to individuals and enables discrimination,Using group statistics as evidence of individual ability,103
8,PQ_DIV-03_13,Expanded distractor (A),distractor expansion,Deny the biases exist and continue unchanged,"Deny the biases exist and continue unchanged, without adequate clinical justification.",55
8,PQ_DIV-03_13,Expanded distractor (C),distractor expansion,Assume everyone has biases and take no action to change,Assume everyone has biases and take no action to change without gathering data to support or refute that interpretation.,55
8,PQ_DIV-03_14,Expanded distractor (A),distractor expansion,Raising test score cutoffs to be more selective,"Raising test score cutoffs to be more selective, without adequate clinical justification.",139
8,PQ_DIV-03_17,Expanded distractor (A),distractor expansion,Ignore the difference to treat everyone the same,Ignore the difference to treat everyone the same and continue without meaningful modification to the current approach.,67
8,PQ_DIV-03_17,Expanded distractor (C),distractor expansion,Assume teachers have good reasons for the differences,Assume teachers have good reasons for the differences without gathering data to support or refute that interpretation.,67
8,PQ_DIV-05_4,Shortened correct (B),semicolon trim,"Implement high-quality, evidence-based general education interventions with progress monitoring; refer for evaluation only if the student doesn't respond to intervention","Implement high-quality, evidence-based general education interventions with progress monitoring",106
8,PQ_DIV-05_6,Shortened correct (B),parenthetical trim,"Reflect ambitious learning outcomes while specifying how poverty-related barriers will be addressed (e.g., transportation to services, access to materials)",Reflect ambitious learning outcomes while specifying how poverty-related barriers will be addressed.,89
8,PQ_DIV-05_8,Expanded distractor (C),distractor expansion,Limit services to academic subjects only,"Limit services to academic subjects only, without adequate clinical justification.",52
8,PQ_DIV-05_9,Shortened correct (B),trailing-clause trim,"Disparities exist in who is restrained based on race/ethnicity or disability status, suggesting potential overuse or bias",Disparities exist in who is restrained based on race/ethnicity or disability status.,60
8,PQ_DIV-05_10,Expanded distractor (D),distractor expansion,Only special education finances,"Only special education finances, without adequate clinical justification.",107
8,PQ_DIV-05_12,Shortened correct (B),semicolon trim,"Proceed with evaluation under IDEA regardless of housing status; remove barriers to participation (flexible scheduling, transportation if needed)",Proceed with evaluation under IDEA regardless of housing status,76
8,PQ_DIV-05_13,Shortened correct (B),semicolon trim,Include assessment in both the home language and English; include bilingual personnel or interpreters; examine performance in both languages,Include assessment in both the home language and English,74
8,PQ_DIV-05_16,Shortened correct (B),semicolon trim,Identify gifted characteristics through diverse methods; provide culturally sustaining curriculum; ensure advanced opportunities are not limited by bias,Identify gifted characteristics through diverse methods,59
8,PQ_DIV-05_19,Shortened correct (B),semicolon trim,With significant needs who would regress without services over the summer break; decisions should be individualized and consider the student's disability and needs,With significant needs who would regress without services over the summer break,116
9,PQ_ETH-01_2,Expanded distractor (D),distractor expansion,"Individual, Family, School, and Community","Individual, Family, School, and Community, without adequate clinical justification.",60
9,PQ_ETH-01_3,Shortened correct (B),semicolon trim,Provide an interpretation of the data; raw data can be provided to a qualified professional designated by the parent,Provide an interpretation of the data,50
9,PQ_ETH-01_5,Expanded distractor (D),distractor expansion,Is acceptable only if they teach different grades,"Is acceptable only if they teach different grades, without adequate clinical justification.",103
9,PQ_ETH-01_6,Shortened correct (C),semicolon trim,Explain to the student that parental consent is required; discuss the student's concerns and explore whether the parent can be involved in a way that respects the student's concerns,Explain to the student that parental consent is required,101
9,PQ_ETH-01_7,Shortened correct (B),semicolon trim,"Speak privately with the colleague, expressing concern; if unresolved, escalate to administration or appropriate oversight body","Speak privately with the colleague, expressing concern",56
9,PQ_ETH-01_8,Shortened correct (B),semicolon trim,"Be detailed enough to document the basis for decisions, recommendations, and interventions; be objective and factual; and avoid personal opinions","Be detailed enough to document the basis for decisions, recommendations, and interventions",53
9,PQ_ETH-01_9,Expanded distractor (A),distractor expansion,Hope no one notices and continue as planned,"Hope no one notices and continue as planned, without adequate clinical justification.",52
9,PQ_ETH-01_9,Expanded distractor (D),distractor expansion,Wait until the next annual review to correct it,"Wait until the next annual review to correct it, without adequate clinical justification.",52
9,PQ_ETH-01_10,Shortened correct (B),semicolon trim,"The parent and student (when age-appropriate) understanding what services will be provided, what will happen with information, and the right to refuse; consent must be based on true understanding","The parent and student (when age-appropriate) understanding what services will be provided, what will happen with information, and the right to refuse",144
9,PQ_ETH-01_10,Expanded distractor (A),distractor expansion,Only the parent's signature on a form,"Only the parent's signature on a form, without adequate clinical justification.",99
9,PQ_ETH-01_10,Expanded distractor (C),distractor expansion,No consent since schools have blanket authority,"No consent since schools have blanket authority, without adequate clinical justification.",99
9,PQ_ETH-01_11,Shortened correct (B),semicolon trim,Acknowledge the limits of consultation without full assessment; offer to conduct a more thorough assessment or refer to a colleague with more time,Acknowledge the limits of consultation without full assessment,82
9,PQ_ETH-01_12,Expanded distractor (A),distractor expansion,Accept the barter arrangement to help the family,Accept the barter arrangement to help the family without seeking corroborating evidence or additional clinical inquiry.,53
9,PQ_ETH-01_12,Expanded distractor (C),distractor expansion,Accept the barter if the school administrator approves,Accept the barter if the school administrator approves without seeking corroborating evidence or additional clinical inquiry.,53
9,PQ_ETH-01_13,Shortened correct (B),semicolon trim,"Recognize burnout affects competence and seek support through consultation, supervision, or professional development; consider temporary role adjustments or seeking help","Recognize burnout affects competence and seek support through consultation, supervision, or professional development",76
9,PQ_ETH-01_15,Shortened correct (B),semicolon trim,The threat must be reported to administrators and parents; threat assessment is warranted to determine immediate risk,The threat must be reported to administrators and parents,56
9,PQ_ETH-01_16,Shortened correct (B),semicolon trim,"Verify FERPA rights by confirming parental rights; generally, custodial parents have rights unless a court order specifies otherwise; provide records if the custodial parent consents",Verify FERPA rights by confirming parental rights,110
9,PQ_ETH-01_17,Shortened correct (B),semicolon trim,"Regular oversight, feedback, and assessment of competence; clear scope of practice; and ongoing communication about performance","Regular oversight, feedback, and assessment of competence",56
9,PQ_ETH-01_19,Shortened correct (B),semicolon trim,Notify the parents/guardians of the subpoena; provide records according to FERPA and state laws; consult with administration if needed,Notify the parents/guardians of the subpoena,90
9,PQ_ETH-01_20,Shortened correct (B),semicolon trim,"Advocate for the student's interests; if concerns persist after expressing them to the team, escalate through appropriate channels or document dissent",Advocate for the student's interests,81
9,PQ_ETH-02_3,Expanded distractor (A),distractor expansion,They have no legal significance,"They have no legal significance, without adequate clinical justification.",114
9,PQ_ETH-02_3,Expanded distractor (C),distractor expansion,They are only for the psychologist's memory,"They are only for the psychologist's memory, without adequate clinical justification.",114
9,PQ_ETH-02_3,Expanded distractor (D),distractor expansion,They should be vague to protect privacy,"They should be vague to protect privacy, without adequate clinical justification.",114
9,PQ_ETH-02_4,Expanded distractor (A),distractor expansion,Only the trainee,"Only the trainee, which is not supported by the available evidence.",53
9,PQ_ETH-02_4,Expanded distractor (B),distractor expansion,Only the supervisor,"Only the supervisor, which is not supported by the available evidence.",53
9,PQ_ETH-02_4,Expanded distractor (D),distractor expansion,The school district but not the individuals,"The school district but not the individuals, without adequate clinical justification.",53
9,PQ_ETH-02_6,Shortened correct (B),semicolon trim,"Clarify the supervisee's competence, training, and experience; ensure the task is within their scope; provide appropriate oversight; and plan for review of work","Clarify the supervisee's competence, training, and experience",98
9,PQ_ETH-02_8,Shortened correct (B),semicolon trim,Only if the recommendation was appropriate and reasonable; implementation is the school's responsibility,Only if the recommendation was appropriate and reasonable,51
9,PQ_ETH-02_9,Expanded distractor (A),distractor expansion,Immediately terminating the supervisee,"Immediately terminating the supervisee, without adequate clinical justification.",91
9,PQ_ETH-02_9,Expanded distractor (D),distractor expansion,Blaming the supervisee publicly,"Blaming the supervisee publicly, without adequate clinical justification.",91
9,PQ_ETH-02_10,Shortened correct (B),semicolon trim,Until the student graduates or leaves the district; longer if required by law or if the student may return,Until the student graduates or leaves the district,52
9,PQ_ETH-02_11,Expanded distractor (A),distractor expansion,No concerns because text messages are informal,"No concerns because text messages are informal, which does not apply in this clinical context.",65
9,PQ_ETH-02_11,Expanded distractor (D),distractor expansion,Digital communication is always protected,"Digital communication is always protected, which does not apply in this clinical context.",65
9,PQ_ETH-02_12,Shortened correct (B),semicolon trim,A breach of confidentiality and standard of care; corrective action and potentially notification is warranted,A breach of confidentiality and standard of care,52
9,PQ_ETH-02_13,Shortened correct (B),semicolon trim,"Derogatory language is subjective, could be seen as bias, and is unprofessional; the notes could be discovered and damage the psychologist's credibility and the school's defense","Derogatory language is subjective, could be seen as bias, and is unprofessional",123
9,PQ_ETH-02_14,Shortened correct (B),semicolon trim,To all staff handling student records; FERPA requires protected access and specific retention timelines,To all staff handling student records,55
9,PQ_ETH-02_15,Shortened correct (B),semicolon trim,"Ensuring the testimony is accurate, truthful, and limited to areas of expertise; preparing for cross-examination","Ensuring the testimony is accurate, truthful, and limited to areas of expertise",63
9,PQ_ETH-02_16,Shortened correct (B),to-clause trim,Substantial because the supervisor delegated beyond the supervisee's competence and failed to provide appropriate oversight,Substantial because the supervisor delegated beyond the supervisee's competence and failed.,77
9,PQ_ETH-02_18,Expanded distractor (A),distractor expansion,All professional mistakes,"All professional mistakes, which is not supported by the available evidence.",83
9,PQ_ETH-02_18,Expanded distractor (C),distractor expansion,Everything the psychologist does,"Everything the psychologist does, without adequate clinical justification.",83
9,PQ_ETH-02_18,Expanded distractor (D),distractor expansion,Nothing related to school practice,"Nothing related to school practice, without adequate clinical justification.",83
9,PQ_ETH-02_19,Expanded distractor (C),distractor expansion,Liability only if the abuse continues,"Liability only if the abuse continues, without adequate clinical justification.",52
9,PQ_ETH-02_19,Expanded distractor (D),distractor expansion,Liability only if reported to the school board,"Liability only if reported to the school board, without adequate clinical justification.",52
9,PQ_ETH-02_20,Expanded distractor (A),distractor expansion,Hide the error hoping no one notices,"Hide the error hoping no one notices, without adequate clinical justification.",83
9,PQ_ETH-02_20,Expanded distractor (C),distractor expansion,Tell colleagues informally,"Tell colleagues informally, which is not supported by the available evidence.",83
9,PQ_ETH-02_20,Expanded distractor (D),distractor expansion,Wait to see if harm actually results,"Wait to see if harm actually results, without adequate clinical justification.",83
9,PQ_ETH-03_1,Expanded distractor (A),distractor expansion,Generate revenue for NASP,"Generate revenue for NASP, which is not supported by the available evidence.",53
9,PQ_ETH-03_1,Expanded distractor (C),distractor expansion,Create unnecessary paperwork,"Create unnecessary paperwork, which is not supported by the available evidence.",53
9,PQ_ETH-03_1,Expanded distractor (D),distractor expansion,Replace supervision with education,"Replace supervision with education, without adequate clinical justification.",53
9,PQ_ETH-03_2,Shortened correct (B),semicolon trim,"Actively pursue professional development through professional organizations, online learning, consultation, and peer networks; advocate for resources to support ongoing learning","Actively pursue professional development through professional organizations, online learning, consultation, and peer networks",88
9,PQ_ETH-03_3,Shortened correct (B),parenthetical trim,"Promoting the interests and rights of individual students within the system (e.g., advocating for appropriate services, accommodations, or challenging inappropriate placement)",Promoting the interests and rights of individual students within the system.,131
9,PQ_ETH-03_4,Shortened correct (B),semicolon trim,"Addressing policies, practices, and structures that affect groups of students; using data to influence policy and practice changes","Addressing policies, practices, and structures that affect groups of students",80
9,PQ_ETH-03_5,Shortened correct (B),semicolon trim,Engage in professional learning about bias and disproportionality; collaborate with colleagues to examine the issue; advocate for policy and practice changes based on data,Engage in professional learning about bias and disproportionality,108
9,PQ_ETH-03_6,Expanded distractor (A),distractor expansion,They are optional opinions,"They are optional opinions, which is not supported by the available evidence.",59
9,PQ_ETH-03_6,Expanded distractor (C),distractor expansion,They are only for beginning practitioners,"They are only for beginning practitioners, without adequate clinical justification.",59
9,PQ_ETH-03_7,Expanded distractor (A),distractor expansion,Creating dependency on the mentor/supervisor,"Creating dependency on the mentor/supervisor, without adequate clinical justification.",67
9,PQ_ETH-03_7,Expanded distractor (C),distractor expansion,Reducing the need for independent thinking,"Reducing the need for independent thinking, without adequate clinical justification.",67
9,PQ_ETH-03_7,Expanded distractor (D),distractor expansion,Primarily evaluating performance only,"Primarily evaluating performance only, without adequate clinical justification.",67
9,PQ_ETH-03_9,Expanded distractor (A),distractor expansion,Adding to resume credentials only,"Adding to resume credentials only, without adequate clinical justification.",95
9,PQ_ETH-03_9,Expanded distractor (C),distractor expansion,Creating an unnecessary burden,"Creating an unnecessary burden, without adequate clinical justification.",95
9,PQ_ETH-03_9,Expanded distractor (D),distractor expansion,Being relevant only if it's a paid position,"Being relevant only if it's a paid position, without adequate clinical justification.",95
9,PQ_ETH-03_10,Expanded distractor (A),distractor expansion,Only working with individual students,"Only working with individual students, without adequate clinical justification.",101
9,PQ_ETH-03_10,Expanded distractor (D),distractor expansion,Only following policies without question,"Only following policies without question, without adequate clinical justification.",101
9,PQ_ETH-03_11,Expanded distractor (A),distractor expansion,Using only the newest published research,"Using only the newest published research, without adequate clinical justification.",82
9,PQ_ETH-03_11,Expanded distractor (C),distractor expansion,Avoiding practices not yet validated,"Avoiding practices not yet validated, without adequate clinical justification.",82
9,PQ_ETH-03_12,Expanded distractor (A),distractor expansion,Primarily networking benefits,"Primarily networking benefits, which is not supported by the available evidence.",94
9,PQ_ETH-03_12,Expanded distractor (C),distractor expansion,Unnecessary time commitment,"Unnecessary time commitment, which is not supported by the available evidence.",94
9,PQ_ETH-03_12,Expanded distractor (D),distractor expansion,Only if they become president,"Only if they become president, which is not supported by the available evidence.",94
9,PQ_ETH-03_13,Shortened correct (B),semicolon trim,"Analyzing available data to identify disparities, needs, or areas for improvement; presenting findings to stakeholders; advocating for changes based on evidence","Analyzing available data to identify disparities, needs, or areas for improvement",116
9,PQ_ETH-03_15,Expanded distractor (A),distractor expansion,Only for researchers in universities,"Only for researchers in universities, without adequate clinical justification.",61
9,PQ_ETH-03_15,Expanded distractor (C),distractor expansion,"Only reading research, not conducting it","Only reading research, not conducting it, without adequate clinical justification.",61
9,PQ_ETH-03_15,Expanded distractor (D),distractor expansion,Assuming school-based data is not valuable for research,"Assuming school-based data is not valuable for research, which does not apply in this clinical context.",61
9,PQ_ETH-03_16,Expanded distractor (C),distractor expansion,Assuming cultural knowledge is static,"Assuming cultural knowledge is static, which does not apply in this clinical context.",88
9,PQ_ETH-03_18,Shortened correct (B),semicolon trim,"Regularly examining their decisions, outcomes, and biases; considering what worked and what didn't; adjusting future practice based on reflection","Regularly examining their decisions, outcomes, and biases",104
9,PQ_ETH-03_19,Shortened correct (B),semicolon trim,"Compliance fulfills minimum requirements; true competence growth requires engaging with material deeply, applying learning, and changing practice",Compliance fulfills minimum requirements,101
9,PQ_ETH-03_20,Expanded distractor (C),distractor expansion,Waiting for others to become experts first,"Waiting for others to become experts first, without adequate clinical justification.",89
9,PQ_LEG-01_2,Shortened correct (B),parenthetical trim,"Records directly related to a student in the school's possession (including grades, test scores, assessments, disciplinary records, and notes)",Records directly related to a student in the school's possession.,104
9,PQ_LEG-01_5,Shortened correct (B),semicolon trim,"The school must consider the request; if denied, the parent has the right to a hearing and to place a statement in the record",The school must consider the request,78
9,PQ_LEG-01_6,Shortened correct (B),semicolon trim,Remains with the parent unless the student is emancipated or a court order specifies otherwise; the parent may retain access,Remains with the parent unless the student is emancipated or a court order specifies otherwise,84
9,PQ_LEG-01_6,Expanded distractor (A),distractor expansion,Automatically transfers to the student,"Automatically transfers to the student, without adequate clinical justification.",54
9,PQ_LEG-01_6,Expanded distractor (C),distractor expansion,Transfers to the school,"Transfers to the school, which is not supported by the available evidence.",54
9,PQ_LEG-01_6,Expanded distractor (D),distractor expansion,Transfers to the district superintendent,"Transfers to the district superintendent, without adequate clinical justification.",54
