id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
ETS_Q029,,LEG-S02,Diversity,"Interagency collaboration for students with disabilities is most useful for doing which of the following tasks?","Developing IEPs","Implementing disciplinary programs","Increasing high school enrollment","Planning for postsecondary transitions",D,"Planning for postsecondary transitions",A=15|B=34|C=33|D=38,38.00,A=0.39|B=0.89|C=0.87|D=1.00,"length-mismatch",ETS
ETS_Q030,,SWP-S02,Academic,"Ms. Carey is a school psychologist at a middle school. Within the first six weeks of the school year, there has been a notable increase in behaviors related to fighting, name-calling, and general student disagreements. Each time a student is referred to the office for a disciplinary problem, the office contacts Ms. Carey to provide counseling services. Which of the following might Ms. Carey suggest in a meeting with school staff as the next best response to this increase in general need?","Providing intensive behavioral interventions and supports for each student referred for disciplinary problems","Implementing schoolwide positive behavioral intervention and supports (SWPBIS) and social-emotional learning","Allowing other school staff to assist in meeting with students with problem behaviors","Providing more small-group instruction in conflict resolution and general social skills to all students",B,"Implementing schoolwide positive behavioral intervention and supports (SWPBIS) and social-emotional learning",A=109|B=108|C=85|D=103,108.00,A=1.01|B=1.00|C=0.79|D=0.95,"none",ETS
"GEN-CC-T09-n1gdr6",CC-T09,"NEW-2-FamilyCollaboration",DBDM,"A school psychologist is working with a family from a diverse cultural background who seems resistant to intervention recommendations. What is the most effective strategy?","Provide less than the required supervision hours","Intervention before assessment","Build trust by understanding family values and adapting communication styles","Provide direct instruction only",C,"Build trust by understanding family values and adapting communication styles",A=48|B=30|C=76|D=31,76.00,A=0.63|B=0.39|C=1.00|D=0.41,"length-mismatch","generated"
"GEN-CC-T09-b16rnm",CC-T09,"NEW-2-FamilyCollaboration",DBDM,"A school psychologist is working with a family from a diverse cultural background who wants to collaborate on an intervention plan. What is the most effective strategy?","Make a recommendation based on teacher observations alone","Involve the family as partners, recognize their strengths, and promote home-school collaboration","Cognitive Behavioral Therapy","Include students with severe conduct disorders in group counseling",B,"Involve the family as partners, recognize their strengths, and promote home-school collaboration",A=57|B=96|C=28|D=66,96.00,A=0.59|B=1.00|C=0.29|D=0.69,"irrelevant-domain, length-mismatch","generated"
"GEN-CC-T10-35n60u",CC-T10,"NEW-2-CommunityAgencies",MBH,"A school psychologist needs to coordinate services for a student who needs multiple community services. What is the most appropriate approach for working with community agencies?","Apply adult diagnostic criteria directly to children","Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery","A replacement behavior that serves a different function","Determine appropriate punishment for the behavior",B,"Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery",A=52|B=133|C=55|D=49,133.00,A=0.39|B=1.00|C=0.41|D=0.37,"irrelevant-domain, length-mismatch","generated"
GEN-ACAD-T10-5i35q1,ACAD-T10,"NEW-3-AccommodationsModifications",DBDM,"A student with a sensory impairment needs a reduced assignment load. This is an example of:","A replacement behavior that serves a different function","Make a recommendation based on teacher observations alone","A modification (changes what the student learns)","Investigate the abuse allegations before reporting",C,"A modification (changes what the student learns)",A=55|B=57|C=48|D=50,48.00,A=1.15|B=1.19|C=1.00|D=1.04,"irrelevant-domain","generated"
GEN-ACAD-T11-lf8txu,ACAD-T11,NEW-3-AcademicProgressFactors,Academic,"A student's academic progress is influenced by classroom factors. Which factor is most likely to impact achievement?",Classroom climate,"Apply adult diagnostic criteria directly to children","Investigate the abuse allegations before reporting","Classroom climate and teacher-student relationships",D,"Classroom climate and teacher-student relationships",A=17|B=52|C=50|D=51,51.00,A=0.33|B=1.02|C=0.98|D=1.00,"length-mismatch","generated"
"GEN-ACAD-T12-z6i9nw",ACAD-T12,"NEW-3-BioCulturalInfluences",C&C,"A student's academic performance is affected by developmental readiness. Which consideration is most important?","Apply the rule absolutely without considering context","Cognitive development","Make disciplinary decisions about the student","Cognitive development and readiness for academic tasks",D,"Cognitive development and readiness for academic tasks",A=53|B=21|C=45|D=54,54.00,A=0.98|B=0.39|C=0.83|D=1.00,"length-mismatch","generated"
GEN-ACAD-T12-2euh6g,ACAD-T12,"NEW-3-BioCulturalInfluences",Academic,"A student's academic performance is affected by cultural background. Which consideration is most important?","Cultural learning styles, values, and communication patterns","Determine appropriate punishment for the behavior","Data collection always comes before intervention","Allow full copying and release of test protocols",A,"Cultural learning styles, values, and communication patterns",A=60|B=49|C=48|D=48,60.00,A=1.00|B=0.82|C=0.80|D=0.80,"none","generated"
"GEN-MBH-T15-hmirnm",MBH-T15,"NEW-4-DevelopmentalInterventions",DBDM,"A school psychologist is planning an intervention for a elementary school student who experiences anxiety. Which approach is most developmentally appropriate?","Concrete, play-based, visual strategies with shorter sessions","Breach confidentiality for general concerns about student well-being","Allow full copying and release of test protocols","Implement an intervention without reviewing assessment data",A,"Concrete, play-based, visual strategies with shorter sessions",A=61|B=68|C=48|D=59,61.00,A=1.00|B=1.11|C=0.79|D=0.97,"none","generated"
GEN-MBH-T15-9d7t4e,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a elementary school student who struggles with social skills. Which approach is most developmentally appropriate?","Concrete, play-based, visual strategies with shorter sessions","Provide the best possible education","Use progress monitoring tools for program evaluation","Concrete",A,"Concrete, play-based, visual strategies with shorter sessions",A=61|B=35|C=52|D=8,61.00,A=1.00|B=0.57|C=0.85|D=0.13,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-MBH-T16-icjxve,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing anxiety is likely to show which impact on academic performance?","Intervention before assessment","Investigate the abuse allegations before reporting","Impact on academic performance, engagement, and learning","Impact on academic performance",C,"Impact on academic performance, engagement, and learning",A=30|B=50|C=56|D=30,56.00,A=0.54|B=0.89|C=1.00|D=0.54,"irrelevant-domain","generated"
GEN-MBH-T16-mwt51a,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing trauma is likely to show which impact on academic performance?","Provide the best possible education","Breach confidentiality for general concerns about student well-being","Impact on academic performance, engagement, and learning","Make a medical diagnosis",C,"Impact on academic performance, engagement, and learning",A=35|B=68|C=56|D=24,56.00,A=0.63|B=1.21|C=1.00|D=0.43,"irrelevant-domain, length-mismatch","generated"
GEN-CC-T09-vri4i0,CC-T09,"NEW-2-FamilyCollaboration",DBDM,"A school psychologist is working with a family from a collectivist culture who expresses concerns about the school's approach. What is the most effective strategy?","Allow full copying and release of test protocols","Recommend services without analyzing progress monitoring data","Use an individual assessment for universal screening","Build trust by understanding family values and adapting communication styles",D,"Build trust by understanding family values and adapting communication styles",A=48|B=61|C=52|D=76,76.00,A=0.63|B=0.80|C=0.68|D=1.00,"irrelevant-domain","generated"
GEN-CC-T09-wa796g,CC-T09,"NEW-2-FamilyCollaboration","Prevention","A school psychologist is working with a family from a collectivist culture who has difficulty attending meetings. What is the most effective strategy?","Deny access to records without legal basis","Investigate the abuse allegations before reporting","Identify and address barriers to engagement, such as scheduling or transportation","Use progress monitoring tools for program evaluation",C,"Identify and address barriers to engagement, such as scheduling or transportation",A=42|B=50|C=81|D=52,81.00,A=0.52|B=0.62|C=1.00|D=0.64,"irrelevant-domain","generated"
GEN-CC-T10-dbtzi6,CC-T10,"NEW-2-CommunityAgencies",MBH,"A school psychologist needs to coordinate services for a student who needs vocational support. What is the most appropriate approach for working with community agencies?","A replacement behavior that serves a different function","Attention","Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery","Use progress monitoring tools for program evaluation",C,"Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery",A=55|B=9|C=133|D=52,133.00,A=0.41|B=0.07|C=1.00|D=0.39,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-ACAD-T10-gccqo6,ACAD-T10,"NEW-3-AccommodationsModifications",C&C,"A student with ADHD needs assistive technology for writing. This is an example of:","An accommodation (changes how the student accesses the curriculum)","Diagnose the student with a medical condition","Students only need comprehensive evaluations before intervention","Use a diagnostic assessment for weekly monitoring",A,"An accommodation (changes how the student accesses the curriculum)",A=66|B=45|C=64|D=49,66.00,A=1.00|B=0.68|C=0.97|D=0.74,"irrelevant-domain","generated"
GEN-ACAD-T10-oxddo6,ACAD-T10,"NEW-3-AccommodationsModifications",C&C,"A student with ADHD needs a reduced assignment load. This is an example of:","A modification (changes what the student learns)","Provide direct instruction in reading","Breach confidentiality for general concerns about student well-being","Use progress monitoring tools for program evaluation",A,"A modification (changes what the student learns)",A=48|B=37|C=68|D=52,48.00,A=1.00|B=0.77|C=1.42|D=1.08,"irrelevant-domain","generated"
"GEN-ACAD-T10-ivu7un",ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a physical disability needs extended time on tests. This is an example of:","Use an individual assessment for universal screening","Attention","An accommodation (changes how the student accesses the curriculum)","Investigate the abuse allegations before reporting",C,"An accommodation (changes how the student accesses the curriculum)",A=52|B=9|C=66|D=50,66.00,A=0.79|B=0.14|C=1.00|D=0.76,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-ACAD-T11-9xv9oj,ACAD-T11,NEW-3-AcademicProgressFactors,Academic,"A student's academic progress is influenced by socioeconomic factors. Which factor is most likely to impact achievement?","Breach confidentiality for general concerns ab...","Use a diagnostic assessment for weekly monitoring","Access to resources and stability","Provide direct instruction only",C,"Access to resources and stability",A=49|B=49|C=33|D=31,33.00,A=1.48|B=1.48|C=1.00|D=0.94,"irrelevant-domain","generated"
GEN-ACAD-T12-tc8t3y,ACAD-T12,"NEW-3-BioCulturalInfluences",Academic,"A student's academic performance is affected by social relationships. Which consideration is most important?","Peer relationships and family structure","Provide less than the required supervision hours","Use progress monitoring tools for program evaluation","Include students with severe conduct disorders in group...",A,"Peer relationships and family structure",A=39|B=48|C=52|D=58,39.00,A=1.00|B=1.23|C=1.33|D=1.49,"irrelevant-domain","generated"
"GEN-ACAD-T12-6hbn8m",ACAD-T12,"NEW-3-BioCulturalInfluences",Academic,"A student's academic performance is affected by multiple interacting factors. Which consideration is most important?","The interaction of biological, cultural, and social factors","The interaction of biological","Use an individual assessment for universal screening","Apply the rule absolutely without considering context",A,"The interaction of biological, cultural, and social factors",A=59|B=29|C=52|D=53,59.00,A=1.00|B=0.49|C=0.88|D=0.90,"irrelevant-domain, length-mismatch","generated"
GEN-MBH-T15-gvj5ao,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a high school student who has behavioral challenges. Which approach is most developmentally appropriate?","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Use curriculum-based measurement for comprehensive evaluation","Schedule assessment for next week","Include students with severe conduct disorders in group counseling",A,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=86|B=61|C=33|D=66,86.00,A=1.00|B=0.71|C=0.38|D=0.77,"irrelevant-domain, length-mismatch","generated"
GEN-MBH-T16-w6eyil,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing ADHD is likely to show which impact on school engagement?","Use curriculum-based measurement for comprehensive evaluation","Impact on academic performance, engagement, and learning","Make a recommendation based on teacher observations alone","Provide direct instruction only",B,"Impact on academic performance, engagement, and learning",A=61|B=56|C=57|D=31,56.00,A=1.09|B=1.00|C=1.02|D=0.55,"irrelevant-domain","generated"
GEN-MBH-T16-p6bui9,MBH-T16,"NEW-4-MentalHealthImpact",C&C,"A student experiencing ADHD is likely to show which impact on test-taking?","Assign homework to the student","Impact on academic performance, engagement, and learning","Use a diagnostic assessment for weekly monitoring","Prescribe treatment without proper authorization",B,"Impact on academic performance, engagement, and learning",A=30|B=56|C=49|D=48,56.00,A=0.54|B=1.00|C=0.88|D=0.86,"irrelevant-domain","generated"
GEN-FSC-T04-5caagi,FSC-T04,"NEW-7-InteragencyCollaboration",DBDM,"Interagency collaboration for students with disabilities is most useful for:","Planning for postsecondary transitions and connecting students to employment and education opportunities","Schedule assessment for next week","Intervention before assessment","Use a screening tool to determine eligibility",A,"Planning for postsecondary transitions and connecting students to employment and education opportunities",A=104|B=33|C=30|D=45,104.00,A=1.00|B=0.32|C=0.29|D=0.43,"irrelevant-domain, length-mismatch","generated"
GEN-FSC-T05-qhvk5g,FSC-T05,"NEW-7-ParentingInterventions",Academic,"A school psychologist is working with parents to address homework completion at home. What is the most effective approach?","Schedule assessment for next week","Use curriculum-based measurement for comprehensive evaluation","Teach parents behavior management strategies including positive reinforcement, clear rules, and consistent consequences","Disclose confidential information to unauthorized personnel",C,"Teach parents behavior management strategies including positive reinforcement, clear rules, and consistent consequences",A=33|B=61|C=119|D=59,119.00,A=0.28|B=0.51|C=1.00|D=0.50,"irrelevant-domain, length-mismatch","generated"
GEN-DBDM-T20-20b72b,DBDM-T20,"NEW-1-BackgroundInformation",DBDM,"Before conducting an assessment, a school psychologist should:","Review background information including student records, medical records, previous interventions, and developmental history","Determine appropriate punishment for the behavior","Implement an intervention program","Implement an intervention without reviewing assessment data",A,"Review background information including student records, medical records, previous interventions, and developmental history",A=123|B=49|C=33|D=59,123.00,A=1.00|B=0.40|C=0.27|D=0.48,"length-mismatch","generated"
GEN-DBDM-T21-20bu1u,DBDM-T21,"NEW-1-ProblemSolvingFramework",DBDM,"A problem-solving framework (MTSS/RTI) should be used as the basis for:","Apply the rule absolutely without considering context","Use progress monitoring tools for program evaluation","All professional activities including assessment, intervention, and decision-making","Investigate the abuse allegations before reporting",C,"All professional activities including assessment, intervention, and decision-making",A=53|B=52|C=83|D=50,83.00,A=0.64|B=0.63|C=1.00|D=0.60,"irrelevant-domain","generated"
GEN-DBDM-T22-sb7b18,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with multiple severe disabilities, the school psychologist should:","Use a diagnostic assessment for weekly monitoring","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations","Provide direct instruction only","The intervention caused the improvement because it was followed by better scores",B,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=49|B=110|C=31|D=80,110.00,A=0.45|B=1.00|C=0.28|D=0.73,"length-mismatch","generated"
GEN-RES-T10-h1lezb,RES-T10,"NEW-9-ImplementationFidelity",Academic,"To ensure fidelity of implementation for a school-wide program, a school psychologist should:","Use an individual assessment for universal screening","Cognitive Behavioral Therapy","Provide training, coaching, reminders, and ongoing monitoring to ensure consistent implementation","Schedule assessment for next week",C,"Provide training, coaching, reminders, and ongoing monitoring to ensure consistent implementation",A=52|B=28|C=97|D=33,97.00,A=0.54|B=0.29|C=1.00|D=0.34,"irrelevant-domain, length-mismatch","generated"
GEN-RES-T11-u4mi42,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a reading intervention program. What is the most comprehensive approach?","Use curriculum-based measurement for comprehensive evaluation","Allow full copying and release of test protocols","Data collection never comes before intervention","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",D,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=61|B=48|C=47|D=99,99.00,A=0.62|B=0.48|C=0.47|D=1.00,"length-mismatch","generated"
GEN-LEG-T15-bqk5ue,LEG-T15,"NEW-10-ProfessionalGrowth",DBDM,"To maintain professional competence, a school psychologist should:","Provide direct instruction only","Use an individual assessment for universal screening","Make a recommendation based on teacher observations alone","Engage in ongoing professional development, stay current with research, and seek supervision when needed",D,"Engage in ongoing professional development, stay current with research, and seek supervision when needed",A=31|B=52|C=57|D=104,104.00,A=0.30|B=0.50|C=0.55|D=1.00,"irrelevant-domain, length-mismatch","generated"
GEN-CC-T09-w8aw4r,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a collectivist culture who seems resistant to intervention recommendations. What is the most effective strategy?","Provide direct instruction in reading","Use a diagnostic assessment for weekly monitoring","Data collection only comes before intervention","Build trust by understanding family values and adapting communication styles",D,"Build trust by understanding family values and adapting communication styles",A=37|B=49|C=46|D=76,76.00,A=0.49|B=0.64|C=0.61|D=1.00,"irrelevant-domain, length-mismatch","generated"
GEN-CC-T09-xyxrhj,CC-T09,"NEW-2-FamilyCollaboration",DBDM,"A school psychologist is working with a family from a collectivist culture who wants to collaborate on an intervention plan. What is the most effective strategy?","Use progress monitoring tools for program evaluation","Schedule assessment for next week","Decide on placement without examining evaluation results","Involve the family as partners, recognize their strengths, and promote home-school collaboration",D,"Involve the family as partners, recognize their strengths, and promote home-school collaboration",A=52|B=33|C=56|D=96,96.00,A=0.54|B=0.34|C=0.58|D=1.00,"irrelevant-domain, length-mismatch","generated"
GEN-ACAD-T10-w89l4s,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with ADHD needs extended time on tests. This is an example of:","Provide direct instruction only","Attention","An accommodation (changes how the student accesses the curriculum)","Use progress monitoring tools for program evaluation",C,"An accommodation (changes how the student accesses the curriculum)",A=31|B=9|C=66|D=52,66.00,A=0.47|B=0.14|C=1.00|D=0.79,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-ACAD-T10-jj9s0w,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with ADHD needs tests read aloud. This is an example of:","Provide less than the required supervision hours","An accommodation (changes how the student accesses the curriculum)","Students always need comprehensive evaluations before intervention","Use progress monitoring tools for program evaluation",B,"An accommodation (changes how the student accesses the curriculum)",A=48|B=66|C=66|D=52,66.00,A=0.73|B=1.00|C=1.00|D=0.79,"irrelevant-domain","generated"
GEN-MBH-T15-tlttwr,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a middle school student who experiences anxiety. Which approach is most developmentally appropriate?","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Use curriculum-based measurement for comprehensive evaluation","A replacement behavior that serves a different function","Provide the best possible education",A,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=86|B=61|C=55|D=35,86.00,A=1.00|B=0.71|C=0.64|D=0.41,"irrelevant-domain, length-mismatch","generated"
GEN-MBH-T16-lak9lq,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing ADHD is likely to show which impact on learning?","Impact on academic performance, engagement, and learning","Use curriculum-based measurement for comprehensive evaluation","Attention","Recommend services without analyzing progress monitoring data",A,"Impact on academic performance, engagement, and learning",A=56|B=61|C=9|D=61,56.00,A=1.00|B=1.09|C=0.16|D=1.09,"irrelevant-domain, length-mismatch, single-word","generated"
"GEN-FSC-T05-eun7fd",FSC-T05,"NEW-7-ParentingInterventions",Academic,"A school psychologist is working with parents to address challenging behaviors at home. What is the most effective approach?","Teach parents behavior management strategies including positive reinforcement, clear rules, and consistent consequences","Teach parents behavior management strategies including positive reinforcement","Low scores lead to special education placement because they are related","Use curriculum-based measurement for comprehensive evaluation",A,"Teach parents behavior management strategies including positive reinforcement, clear rules, and consistent consequences",A=119|B=77|C=71|D=61,119.00,A=1.00|B=0.65|C=0.60|D=0.51,"irrelevant-domain","generated"
GEN-CC-T09-5sje4o,CC-T09,"NEW-2-FamilyCollaboration",MBH,"A school psychologist is working with a family from a different cultural background who expresses concerns about the school's approach. What is the most effective strategy?","Build trust by understanding family values and adapting communication styles","A replacement behavior that serves a different function","Include students with severe conduct disorders in group counseling","Use a diagnostic assessment for weekly monitoring",A,"Build trust by understanding family values and adapting communication styles",A=76|B=55|C=66|D=49,76.00,A=1.00|B=0.72|C=0.87|D=0.64,"irrelevant-domain","generated"
GEN-CC-T09-yzifuw,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a different cultural background who has difficulty attending meetings. What is the most effective strategy?","Identify and address barriers to engagement, such as scheduling or transportation","Deny access to records without legal basis","Use a screening tool to determine eligibility","Take over teaching the student directly",A,"Identify and address barriers to engagement, such as scheduling or transportation",A=81|B=42|C=45|D=39,81.00,A=1.00|B=0.52|C=0.56|D=0.48,"irrelevant-domain, length-mismatch","generated"
GEN-CC-T10-bbg7ik,CC-T10,"NEW-2-CommunityAgencies",DBDM,"A school psychologist needs to coordinate services for a student who would benefit from postsecondary transition planning. What is the most appropriate approach for working with community agencies?","Provide direct instruction only","Use a screening tool to determine eligibility","Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities","Decide on placement without examining evaluation results",C,"Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities",A=31|B=45|C=117|D=56,117.00,A=0.26|B=0.38|C=1.00|D=0.48,"irrelevant-domain, length-mismatch","generated"
"GEN-ACAD-T10-nfq9h",ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a physical disability needs assistive technology for writing. This is an example of:","Use curriculum-based measurement for comprehensive evaluation","An accommodation (changes how the student accesses the curriculum)","Schedule assessment for next week","Provide less than the required supervision hours",B,"An accommodation (changes how the student accesses the curriculum)",A=61|B=66|C=33|D=48,66.00,A=0.92|B=1.00|C=0.50|D=0.73,"irrelevant-domain","generated"
GEN-MBH-T15-74jiy,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a kindergarten student who has difficulty managing emotions. Which approach is most developmentally appropriate?","Use progress monitoring tools for program evaluation","Interventions every require parent consent","The intervention caused the improvement because it was followed by better scores","Concrete, play-based, visual strategies with shorter sessions",D,"Concrete, play-based, visual strategies with shorter sessions",A=52|B=42|C=80|D=61,61.00,A=0.85|B=0.69|C=1.31|D=1.00,"irrelevant-domain","generated"
GEN-MBH-T16-rhfa1a,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing anxiety is likely to show which impact on school engagement?","Impact on academic performance, engagement, and learning","Recommend services without analyzing progress monitoring data","Provide direct instruction only","Use progress monitoring tools for program evaluation",A,"Impact on academic performance, engagement, and learning",A=56|B=61|C=31|D=52,56.00,A=1.00|B=1.09|C=0.55|D=0.93,"irrelevant-domain","generated"
GEN-FSC-T05-dg2wxj,FSC-T05,"NEW-7-ParentingInterventions",C&C,"A school psychologist is working with parents to address behavior management at home. What is the most effective approach?","Use an individual assessment for universal screening","Apply the rule absolutely without considering context","Teach parents behavior management strategies including positive reinforcement, clear rules, and consistent consequences","Provide direct instruction in reading",C,"Teach parents behavior management strategies including positive reinforcement, clear rules, and consistent consequences",A=52|B=53|C=119|D=37,119.00,A=0.44|B=0.45|C=1.00|D=0.31,"irrelevant-domain, length-mismatch","generated"
GEN-DBDM-T22-9itema,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with a severe physical disability, the school psychologist should:","Apply adult diagnostic criteria directly to children","Use progress monitoring tools for program evaluation","Determine appropriate punishment for the behavior","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",D,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=52|B=52|C=49|D=110,110.00,A=0.47|B=0.47|C=0.45|D=1.00,"length-mismatch","generated"
GEN-DBDM-T22-rhc6v6,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with a sensory impairment, the school psychologist should:","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations","Investigate the abuse allegations before reporting","Schedule a meeting with school administration","Use an individual assessment for universal screening",A,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=110|B=50|C=45|D=52,110.00,A=1.00|B=0.45|C=0.41|D=0.47,"irrelevant-domain, length-mismatch","generated"
"GEN-RES-T11-m8kn3h",RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a school-wide behavior program. What is the most comprehensive approach?","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups","Investigate the abuse allegations before reporting","Allow full copying and release of test protocols","Use an individual assessment for universal screening",A,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=99|B=50|C=48|D=52,99.00,A=1.00|B=0.51|C=0.48|D=0.53,"irrelevant-domain, length-mismatch","generated"
GEN-CC-T10-2pv6ex,CC-T10,"NEW-2-CommunityAgencies",MBH,"A school psychologist needs to coordinate services for a student who requires mental health services. What is the most appropriate approach for working with community agencies?","Use a screening tool to determine eligibility","Make a medical diagnosis","Deny access to records without legal basis","Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery",D,"Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery",A=45|B=24|C=42|D=133,133.00,A=0.34|B=0.18|C=0.32|D=1.00,"irrelevant-domain, length-mismatch","generated"
GEN-MBH-T15-ytf543,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a middle school student who has behavioral challenges. Which approach is most developmentally appropriate?","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Use an individual assessment for universal screening","Provide direct instruction only","Schedule assessment for next week",A,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=86|B=52|C=31|D=33,86.00,A=1.00|B=0.60|C=0.36|D=0.38,"irrelevant-domain, length-mismatch","generated"
GEN-DBDM-T22-dakx6e,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with a chronic health condition, the school psychologist should:","Data collection every comes before intervention","Use progress monitoring tools for program evaluation","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations","Adapt assessment procedures",C,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=47|B=52|C=110|D=27,110.00,A=0.43|B=0.47|C=1.00|D=0.25,"length-mismatch","generated"
GEN-RES-T11-795f7h,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a academic support program. What is the most comprehensive approach?","Use curriculum-based measurement for comprehensive evaluation",Collect outcome data,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups","Deny access to records without legal basis",C,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=61|B=20|C=99|D=42,99.00,A=0.62|B=0.20|C=1.00|D=0.42,"length-mismatch","generated"
GEN-ACAD-T10-icrjpf,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a sensory impairment needs tests read aloud. This is an example of:","An accommodation (changes how the student accesses the curriculum)","Use a diagnostic assessment for weekly monitoring","Provide direct instruction only","A replacement behavior that serves a different function",A,"An accommodation (changes how the student accesses the curriculum)",A=66|B=49|C=31|D=55,66.00,A=1.00|B=0.74|C=0.47|D=0.83,"irrelevant-domain, length-mismatch","generated"
GEN-ACAD-T10-19f1hz,ACAD-T10,"NEW-3-AccommodationsModifications",DBDM,"A student with a sensory impairment needs assistive technology for writing. This is an example of:","An accommodation (changes how the student accesses the curriculum)","Recommend services without analyzing progress monitoring data","Use an individual assessment for universal screening","Intervention before assessment",A,"An accommodation (changes how the student accesses the curriculum)",A=66|B=61|C=52|D=30,66.00,A=1.00|B=0.92|C=0.79|D=0.45,"irrelevant-domain, length-mismatch","generated"
GEN-MBH-T16-3v5g7,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing depression is likely to show which impact on learning?","Use progress monitoring tools for program evaluation","Provide direct instruction only","Apply the rule absolutely without considering context","Impact on academic performance, engagement, and learning",D,"Impact on academic performance, engagement, and learning",A=52|B=31|C=53|D=56,56.00,A=0.93|B=0.55|C=0.95|D=1.00,"irrelevant-domain","generated"
GEN-SWP-T10-r71zcm,SWP-T10,"NEW-5-EducationalPolicies",DBDM,"A school is considering ability tracking for students who are performing below grade level. What should the school psychologist recommend?","Interventions every require parent consent","Recommend services without analyzing progress monitoring data","Consider the limitations of tracking and ensure equal access to opportunities","Use a diagnostic assessment for weekly monitoring",C,"Consider the limitations of tracking and ensure equal access to opportunities",A=42|B=61|C=77|D=49,77.00,A=0.55|B=0.79|C=1.00|D=0.64,"none","generated"
